lambdas,Dx,Dy,Dy_mean,flux_sum,flux_integral,flux_err,fwhm,Dy_fwhm_sup,Dy_fwhm_inf,Dx_rot,amplitude_moffat,x_mean,gamma,alpha,eta_gauss,stddev,saturation
953.7616431180498,967.1634348920761,-13.649018475514264,-11.069490257256652,187.03104518246386,186.6292136587253,1.3066089426936183,14.267206906137922,-6.515882210585672,-20.782154740442856,967.2267797196243,28.41073612048535,-2.579697165680816,15.642134927146385,7.642849327348578,-0.642670615668138,2.4753901648402383,1000.0000000000002
954.6043165223975,968.1633694008915,-13.660234408843698,-11.080934822780845,183.37030137625388,184.16837683532816,1.2987896757760065,14.297999611799654,-6.511702799409625,-20.808766018277773,968.2267797196243,28.038948158792895,-2.579468518511682,15.682108255028522,7.661745287408528,-0.6438580339723877,2.4789924645026513,1000.0000000000002
955.4466098812567,969.163303909707,-13.671448779701473,-11.09237938830504,180.5276830251908,181.85150721707305,1.2926822719041346,14.328789192313394,-6.5075233882335795,-20.835374171169367,969.2267797196243,27.689239078657593,-2.579238308768552,15.722141648150666,7.680672766151775,-0.6450499218770421,2.482599671067163,1000.0000000000002
956.2885230876401,970.1632384185224,-13.682661588087589,-11.103823953829234,179.77758272226185,179.65257143954761,1.291055920770103,14.32832564767915,-6.518967953757773,-20.8463552224174,970.2267797196243,27.357643610119965,-2.5790065364514305,15.762235106512824,7.699631763578319,-0.6462462793821014,2.4862117845337743,1000.0000000000002
957.1300560351452,971.1631729273379,-13.693872834002043,-11.115268519353428,176.7378092779722,177.26212295762159,1.2844854684561242,14.359108977896916,-6.514788542581726,-20.87295712542236,971.2267797196243,26.997031722472833,-2.5787732015603133,15.802388630114988,7.718622279688159,-0.6474471064875655,2.489828804902484,1000.0000000000002
957.9712086179545,972.1631074361533,-13.705082517444843,-11.126713084877624,176.67136919875264,177.9320017324907,1.2843282156400653,14.389889182966698,-6.51060913140568,-20.899555903484007,972.2267797196243,27.10270610372306,-2.578538304095204,15.842602218957161,7.737644314481293,-0.6486524031934342,2.493450732173292,1000.0000000000002
958.8119807308343,973.1630419449688,-13.71629063841598,-11.138157650401817,174.64246665274658,175.45437442573862,1.279918920495948,14.420666262888489,-6.506429720229632,-20.926151556602328,973.2267797196243,26.7291424087768,-2.5783018440560994,15.882875873039342,7.756697867957724,-0.6498621694997078,2.4970775663461993,1000.0000000000002
959.6523722691346,974.1629764537842,-13.72749719691546,-11.149602215926011,175.0207668877471,174.4401197555917,1.2807260711725992,14.420190217662295,-6.517874285753826,-20.937120108077092,974.2267797196243,26.5786647571909,-2.5780638214430027,15.923209592361534,7.775782940117452,-0.6510764054063862,2.5007093074212055,1000.0000000000002
960.492383128788,975.1629109625995,-13.738702192943279,-11.161046781450205,174.16547040134918,174.20837803295416,1.2788560437359675,14.45096104728811,-6.513694874577778,-20.963709511308778,975.2267797196243,26.547615440694653,-2.5778242362559105,15.963603376923738,7.7948995309604765,-0.6522951109134694,2.50434595539831,1000.0000000000002
961.3320132063102,976.162845471415,-13.749905626499443,-11.1724913469744,170.1597470106418,170.90895897357197,1.270111774659306,14.481728751765942,-6.509515463401733,-20.990295789597152,976.2267797196243,26.049222120823252,-2.5775830884948263,16.004057226725948,7.814047640486796,-0.6535182860209572,2.5079875102775135,1000.0000000000002
